71 findings in CHANGELOG.md
CHANGELOG.md:14:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:15:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:16:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:18:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:19:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:20:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:21:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:23:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:24:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:25:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:26:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:28:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:29:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:30:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:32:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:33:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:34:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:39:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:40:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:41:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:42:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:43:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:45:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:46:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:47:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:49:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:50:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:51:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:56:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:57:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:58:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:60:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:61:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:62:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:64:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:65:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:66:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:71:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:72:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:73:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:80:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:81:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:82:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:83:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:85:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:86:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:87:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:89:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:90:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:91:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:92:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:94:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:95:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:96:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:97:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:99:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:100:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:101:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:102:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:107:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:108:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:109:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:110:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:112:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:113:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:114:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:115:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:117:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:118:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:119:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
CHANGELOG.md:120:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
64 findings in ProductionTODO.md
ProductionTODO.md:20:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:21:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:22:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:29:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:30:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:31:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:38:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:39:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:40:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:47:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:48:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:61:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:62:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:63:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:69:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:82:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:83:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:90:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:91:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:98:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:99:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:112:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:113:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:114:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:121:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:128:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:134:1 MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
ProductionTODO.md:135:1 MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
ProductionTODO.md:136:1 MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
ProductionTODO.md:137:1 MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
ProductionTODO.md:149:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:150:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:151:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:153:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:154:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:155:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:161:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:162:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:169:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:170:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:177:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:178:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:185:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:186:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:197:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:198:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:199:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:202:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:203:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:208:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:210:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:211:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:216:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:217:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:218:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:221:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:227:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:228:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:230:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:231:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:236:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:237:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:240:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
ProductionTODO.md:241:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
57 findings in tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:17:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:18:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:19:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:22:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:23:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:24:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:25:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:30:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:31:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:32:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:35:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:36:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:39:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:40:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:43:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:44:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:47:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:48:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:51:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:52:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:55:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:58:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:61:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:66:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:67:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:70:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:71:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:72:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:75:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:76:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:81:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:84:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:85:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:86:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:87:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:88:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:93:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:94:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:95:1 MD007/ul-indent Unordered list indentation 
