186 findings in tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:5:81 error MD013/line-length Line length [Expected: 80; Actual: 187]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:18:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:19:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:20:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:21:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:22:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:23:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:24:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:27:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:28:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:29:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:30:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:31:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:32:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:33:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:34:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:35:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:38:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:39:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:40:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:41:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:42:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:43:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

tests/ui/GROUP5_TEST_COMPLETION_SUMMARY.md:44:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]

