180 findings in intellicrack\handlers\pefile_handler.py

intellicrack\handlers\pefile_handler.py:37: unused variable 'RESOURCE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:38: unused variable 'EXCEPTION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:40: unused variable 'BASERELOC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:42: unused variable 'COPYRIGHT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:43: unused variable 'GLOBALPTR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:44: unused variable 'TLS' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:45: unused variable 'LOAD_CONFIG' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:46: unused variable 'BOUND_IMPORT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:47: unused variable 'IAT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:48: unused variable 'DELAY_IMPORT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:49: unused variable 'COM_DESCRIPTOR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:50: unused variable 'RESERVED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:57: unused variable 'IMAGE_SCN_CNT_INITIALIZED_DATA' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:58: unused variable 'IMAGE_SCN_CNT_UNINITIALIZED_DATA' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:60: unused variable 'IMAGE_SCN_MEM_READ' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:61: unused variable 'IMAGE_SCN_MEM_WRITE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:62: unused variable 'IMAGE_SCN_MEM_SHARED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:63: unused variable 'IMAGE_SCN_MEM_DISCARDABLE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:69: unused variable 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:70: unused variable 'IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:71: unused variable 'IMAGE_DLLCHARACTERISTICS_FORCE_INTEGRITY' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:72: unused variable 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:73: unused variable 'IMAGE_DLLCHARACTERISTICS_NO_ISOLATION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:74: unused variable 'IMAGE_DLLCHARACTERISTICS_NO_SEH' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:75: unused variable 'IMAGE_DLLCHARACTERISTICS_NO_BIND' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:76: unused variable 'IMAGE_DLLCHARACTERISTICS_APPCONTAINER' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:77: unused variable 'IMAGE_DLLCHARACTERISTICS_WDM_DRIVER' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:78: unused variable 'IMAGE_DLLCHARACTERISTICS_GUARD_CF' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:79: unused variable 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:85: unused variable 'IMAGE_FILE_MACHINE_UNKNOWN' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:86: unused variable 'IMAGE_FILE_MACHINE_I386' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:87: unused variable 'IMAGE_FILE_MACHINE_R3000' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:88: unused variable 'IMAGE_FILE_MACHINE_R4000' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:89: unused variable 'IMAGE_FILE_MACHINE_R10000' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:90: unused variable 'IMAGE_FILE_MACHINE_WCEMIPSV2' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:91: unused variable 'IMAGE_FILE_MACHINE_ALPHA' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:92: unused variable 'IMAGE_FILE_MACHINE_SH3' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:93: unused variable 'IMAGE_FILE_MACHINE_SH3DSP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:94: unused variable 'IMAGE_FILE_MACHINE_SH3E' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:95: unused variable 'IMAGE_FILE_MACHINE_SH4' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:96: unused variable 'IMAGE_FILE_MACHINE_SH5' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:97: unused variable 'IMAGE_FILE_MACHINE_ARM' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:98: unused variable 'IMAGE_FILE_MACHINE_THUMB' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:99: unused variable 'IMAGE_FILE_MACHINE_ARMNT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:100: unused variable 'IMAGE_FILE_MACHINE_AM33' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:101: unused variable 'IMAGE_FILE_MACHINE_POWERPC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:102: unused variable 'IMAGE_FILE_MACHINE_POWERPCFP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:103: unused variable 'IMAGE_FILE_MACHINE_IA64' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:104: unused variable 'IMAGE_FILE_MACHINE_MIPS16' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:105: unused variable 'IMAGE_FILE_MACHINE_ALPHA64' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:106: unused variable 'IMAGE_FILE_MACHINE_MIPSFPU' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:107: unused variable 'IMAGE_FILE_MACHINE_MIPSFPU16' (60% confidence, 1 line)

